"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SegGeo_number","year","HAND_CLASS","Drought_Condition"
-1.0457,1.69192,-0.879775,-1.70028,21.0228,21.0228,2.72784,-2.83401,12,"2010",22,"Medium Drought"
-0.292127,1.44617,-1.01157,-1.03189,14.0493,14.0493,1,-2.81981,12,"2010",15,"Medium Drought"
-0.714425,1.58778,-0.984751,-1.49843,19.6977,19.6977,2.23125,-2.8106,12,"2010",20,"Medium Drought"
-0.596929,1.97107,-1.30589,-1.41662,10.7718,10.7718,3.32621,-2.78468,12,"2010",11,"Medium Drought"
-0.93982,1.51159,-1.38497,-2.34675,12.8043,12.8043,3,-2.78434,12,"2010",13,"Severe Drought"
2.78393,1.65548,-2.31343,-2.64077,4.27401,4.27401,5.97255,-2.78202,12,"2015",5,"Severe Drought"
-0.811526,1.57933,-1.154,-2.0829,16.5391,16.5391,2.41698,-2.7754,12,"2010",17,"Severe Drought"
-0.809962,1.63181,-0.973254,-1.66059,17.1292,17.1292,2.4914,-2.76448,12,"2010",18,"Medium Drought"
-0.200696,1.69412,-1.37205,-1.32041,22.4425,22.4425,2,-2.74427,12,"2010",23,"Medium Drought"
-0.617449,1.67891,-1.05505,-1.31356,22.4334,22.4334,2.41074,-2.74128,12,"2010",23,"Medium Drought"
0.667086,-0.082722,-0.988839,-1.89958,3.37285,3.37285,3,-2.73801,12,"2015",4,"Medium Drought"
2.13691,1.0514,-2.05914,-1.83988,13.5359,13.5359,4.21053,-2.72718,12,"2015",14,"Medium Drought"
-1.14521,1.68492,-0.639575,-1.92653,15.8048,15.8048,3.1817,-2.72288,12,"2010",16,"Medium Drought"
-1.42653,1.89896,-1.42987,-1.58581,11.5146,11.5146,3.88,-2.71992,12,"2010",12,"Medium Drought"
-0.893736,1.72544,-1.31983,-1.53629,19.7767,19.7767,2.84257,-2.70657,12,"2010",20,"Medium Drought"
-1.02557,1.71897,-1.41496,-1.76287,21.6588,21.6588,3,-2.70003,12,"2010",22,"Medium Drought"
1.68351,0.326362,-1.8276,-2.10358,18.6919,18.6919,4.8835,-2.67063,12,"2015",19,"Severe Drought"
-1.28779,2.49488,0.62449,-2.17547,7.38739,7.38739,3.01818,-2.66573,12,"2010",8,"Severe Drought"
-0.727598,1.7101,-0.977489,-1.55097,13.8298,13.8298,2.67393,-2.65885,12,"2010",14,"Medium Drought"
-0.331301,1.25019,-1.15344,-1.06331,36.0585,36.0585,2,-2.65625,12,"2010",31,"Medium Drought"
-0.530364,1.7301,-1.13652,-1.12396,19.5431,19.5431,2,-2.65336,12,"2010",20,"Medium Drought"
2.46907,2.07728,-2.2198,-2.13932,17.5351,17.5351,5.03983,-2.65165,12,"2015",18,"Severe Drought"
-1.14769,1.63301,-0.860754,-1.76124,16.1834,16.1834,2.90896,-2.64945,12,"2010",17,"Medium Drought"
0.293011,1.49505,-1.23839,-1.08045,21.7862,21.7862,1.87097,-2.64936,12,"2010",22,"Medium Drought"
0.0700415,1.4644,-0.604621,-1.0409,16.8915,16.8915,3,-2.64558,12,"2010",17,"Medium Drought"
-0.837621,1.77114,-1.23155,-1.25513,13.4177,13.4177,2.99356,-2.64482,12,"2010",14,"Medium Drought"
-0.836021,1.62659,-1.06852,-1.12228,18.1805,18.1805,2.30641,-2.61543,12,"2010",19,"Medium Drought"
-1.14829,1.68252,-0.999944,-1.84874,13.9478,13.9478,3,-2.60893,12,"2010",14,"Medium Drought"
-0.21721,1.69772,-1.31112,-1.17436,34.9835,34.9835,2,-2.60365,12,"2010",31,"Medium Drought"
1.51808,0.512747,-2.01247,-2.12242,17.8919,17.8919,4.61684,-2.59828,12,"2015",18,"Severe Drought"
-0.703632,1.74851,-1.32438,-1.60017,24.0077,24.0077,2.50785,-2.59418,12,"2010",25,"Medium Drought"
-0.409396,2.16592,-1.42362,-1.30219,13.973,13.973,2.14042,-2.58953,12,"2010",14,"Medium Drought"
1.85424,0.095282,-1.90251,-2.02411,47.8057,47.8057,5.18974,-2.58092,12,"2015",31,"Severe Drought"
-0.885921,1.59649,-0.611214,-1.25578,27.9721,27.9721,3,-2.56753,12,"2010",28,"Medium Drought"
-0.72527,1.41682,-0.520128,-1.4154,18.7421,18.7421,2,-2.56554,12,"2010",19,"Medium Drought"
2.60375,2.00321,-2.25826,-2.2009,17.7003,17.7003,5.07965,-2.55769,12,"2015",18,"Severe Drought"
1.73454,0.487605,-1.97676,-2.90474,43.8255,43.8255,6.43128,-2.55618,12,"2015",31,"Severe Drought"
-1.01687,1.63325,-1.13941,-1.43792,21.2465,21.2465,2.7977,-2.55531,12,"2010",22,"Medium Drought"
0.707275,0.635603,-1.19765,-1.10727,7.82957,7.82957,2,-2.55305,12,"2015",8,"Medium Drought"
0.255628,1.51224,-1.40952,-1.16722,23.4825,23.4825,2.24348,-2.55106,12,"2010",24,"Medium Drought"
-1.13086,1.63096,-0.803689,-2.10515,12.0137,12.0137,3.18652,-2.55041,12,"2010",13,"Severe Drought"
-0.200244,1.69771,-1.31112,-1.17436,41.1407,41.1407,2,-2.55001,12,"2010",31,"Medium Drought"
1.45546,0.442685,-1.20684,-2.43142,7.89292,7.89292,3.95122,-2.5486,12,"2015",8,"Severe Drought"
-0.550253,1.76053,-1.19273,-1.63381,16.971,16.971,2.16354,-2.54576,12,"2010",17,"Medium Drought"
-0.923933,1.52009,-0.992985,-1.92332,12.0372,12.0372,3,-2.53944,12,"2010",13,"Medium Drought"
2.79912,1.45634,-1.94449,-2.80843,6.23612,6.23612,6,-2.53811,12,"2015",7,"Severe Drought"
-0.877784,2.33332,-1.51564,-1.35343,12.1053,12.1053,3,-2.53568,12,"2010",13,"Medium Drought"
-0.778398,1.69508,-1.18313,-1.89399,13.6732,13.6732,2.67695,-2.53551,12,"2010",14,"Medium Drought"
2.92283,1.69085,-2.30126,-2.49153,4.67959,4.67959,5.38216,-2.53425,12,"2015",5,"Severe Drought"
-1.1893,1.54231,-0.722968,-1.73332,9.11384,9.11384,3,-2.51677,12,"2010",10,"Medium Drought"
-0.904082,2.14006,-0.910422,-1.12307,12.583,12.583,2.77253,-2.5012,12,"2010",13,"Medium Drought"
-1.65455,0.698507,-0.919455,-1.10531,7.06349,7.06349,2,-2.50058,12,"2005",8,"Medium Drought"
-0.551709,2.1977,-0.63615,-1.49771,5.37992,5.37992,3.47664,-2.49986,12,"2010",6,"Medium Drought"
-1.18993,1.54231,-0.722968,-1.73332,10.5592,10.5592,3,-2.49958,12,"2010",11,"Medium Drought"
-0.943971,2.26435,-1.46321,-1.2568,12.1818,12.1818,3.06496,-2.4944,12,"2010",13,"Medium Drought"
2.02019,1.77255,-2.38316,-2.37954,25.8826,25.8826,6,-2.49177,12,"2015",26,"Severe Drought"
0.113375,1.93742,-0.916001,-1.5674,13.4703,13.4703,5,-2.48727,12,"2010",14,"Medium Drought"
-0.989499,1.70297,-1.22679,-2.03174,16.4036,16.4036,2.84789,-2.48292,12,"2010",17,"Severe Drought"
