"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","HAND_CLASS","Drought_Condition","Long","Lat"
-0.907531,1.66061,-1.23269,-1.61032,18.3368,18.3368,2,-3.22693,-0.371378,0.616442,0.284615,17.4712,0.635625,5,62.3391,12,"2010",19,"Medium Drought",-59.539,30.5628
-0.0497911,1.91656,-1.35256,-1.72677,28.6459,28.6459,5,-3.19618,0.118721,0.431479,0.368504,24.0299,0.619528,6.86092,79.3896,12,"2010",29,"Medium Drought",-62.8809,33.4401
-0.524354,1.706,-0.904684,-1.19952,19.8487,19.8487,2,-3.19593,-0.236254,0.354599,0.425241,35.4652,0.666291,4,54.0364,12,"2010",20,"Medium Drought",-59.0457,25.7306
0.00555275,-0.619668,-1.52547,-1.49134,7.47566,7.47566,2,-3.17949,-0.60992,0.420392,0.328301,30.6013,0.624016,0,24.3594,21,"2015",8,"Medium Drought",-73.8064,22.6009
-0.121053,1.71872,-1.50769,-1.17436,24.0643,24.0643,2,-3.16087,-0.229801,0.276596,0.487589,37.1915,0.679578,4,48.3584,12,"2010",25,"Medium Drought",-56.3395,23.0222
-1.1657,2.01115,-0.633856,-1.94549,4.58137,4.58137,5,-3.16024,-0.0237656,0.335562,0.351064,23.6807,0.617152,5,92.5661,12,"2010",5,"Medium Drought",-65.9348,32.2057
-0.52518,1.67028,-0.936898,-1.45272,13.9561,13.9561,2.37037,-3.15109,-0.325501,0.363458,0.414441,34.7744,0.670681,4,54.5745,12,"2010",14,"Medium Drought",-57.9809,25.1335
-1.13566,1.73372,-0.987037,-1.05377,13.1552,13.1552,2,-3.1412,-0.555947,0.37,0.43,34.5,0.665487,5,78.894,12,"2010",14,"Medium Drought",-63.4408,26.3055
-1.16027,1.67331,-1.13638,-1.60801,4.79215,4.79215,4.49855,-3.13997,-0.0276035,0.409796,0.323916,19.8768,0.620372,5.13188,67.8387,12,"2010",5,"Medium Drought",-64.249,33.1444
-0.584144,2.09486,-1.1817,-1.21387,6.14762,6.14762,3,-3.10528,-0.226136,0.445696,0.336709,18.2278,0.639683,5,36.0103,12,"2010",7,"Medium Drought",-64.1827,29.9274
-0.874563,1.61771,-1.19089,-1.49857,10.1737,10.1737,3.83931,-3.10095,0.381762,0.306726,0.392769,36.579,0.604106,4.07769,64.2074,12,"2010",11,"Medium Drought",-72.5822,26.492
2.51575,1.36209,-2.02566,-1.83881,18.0842,18.0842,5,-3.08085,-0.180392,0.54745,0.32945,27.035,0.692461,6.785,85.5082,12,"2015",19,"Medium Drought",-55.318,19.1265
-0.867021,1.62537,-0.508826,-1.23234,17.8117,17.8117,3,-3.06321,-0.38263,0.385217,0.423478,34.1304,0.671947,4,55.1002,12,"2010",18,"Medium Drought",-58.754,24.8974
-1.22292,2.33209,-1.31211,-1.24381,12.4493,12.4493,3.02207,-3.06031,0.667671,0.289154,0.382362,37.8153,0.611164,5,79.1368,12,"2010",13,"Medium Drought",-70.5814,27.1829
2.07763,0.310339,-1.82598,-2.16147,14.2328,14.2328,4,-3.05085,-0.258707,0.412881,0.364153,21.0847,0.689239,5,91.385,12,"2015",15,"Severe Drought",-53.8883,18.7099
-0.145736,1.43395,-0.979523,-1.03189,14.2266,14.2266,1,-3.02732,-0.353768,0.35191,0.43566,32.9688,0.671203,4,54.1289,12,"2010",15,"Medium Drought",-58.1468,24.8964
1.50585,0.0290405,-1.65287,-2.46445,11.9944,11.9944,3,-3.0068,-0.626514,0.424,0.354,18.4,0.68499,3,54.6657,12,"2015",12,"Severe Drought",-48.1474,18.6567
-0.778203,1.68708,-0.841537,-1.49689,14.7845,14.7845,2.48073,-2.99729,-0.292035,0.388154,0.396105,34.0426,0.665244,5,43.343,12,"2010",15,"Medium Drought",-57.9222,25.6053
-0.884238,1.75412,-1.38895,-1.58689,12.227,12.227,3,-2.98759,-0.288079,0.370814,0.41501,32.7876,0.664957,3.84615,42.0412,12,"2010",13,"Medium Drought",-57.5842,25.4948
-0.934902,1.68033,-0.926969,-1.70052,22.3298,22.3298,2.52231,-2.95208,-0.297183,0.39088,0.400195,33.3803,0.663944,4.07165,37.6277,12,"2010",23,"Medium Drought",-57.2578,25.8256
-0.848153,1.77186,-1.45716,-1.32358,16.1679,16.1679,3,-2.95118,-0.262562,0.391933,0.403697,30.8908,0.663955,3.47059,45.6845,12,"2010",17,"Medium Drought",-57.2589,25.3139
-0.95171,-0.217381,-1.6717,-1.0482,5.7498,5.7498,2,-2.92087,0.224209,0.304,0.385143,37.1714,0.628094,4,72.7193,12,"2015",6,"Medium Drought",-70.1632,25.318
0.0101693,1.38375,-1.22948,-1.91244,11.9429,11.9429,1.66273,-2.91722,-0.727756,0.566376,0.306967,27.9934,0.648619,5.06052,52.6199,12,"2010",12,"Medium Drought",-53.913,29.1626
-0.81242,1.67511,-1.19389,-1.07908,18.1063,18.1063,3,-2.88996,-0.328169,0.375802,0.40468,35.8552,0.671752,4,50.93,12,"2010",19,"Medium Drought",-58.6296,25.1778
-1.03608,1.73508,-1.57208,-1.74601,22.8256,22.8256,3,-2.88006,-0.211562,0.361152,0.421939,34.2788,0.666081,5,46.2452,12,"2010",23,"Medium Drought",-59.0457,26.1763
-0.135001,1.88788,-1.75811,-1.57835,4.3462,4.3462,5,-2.86154,0.109103,0.44569,0.349138,17.8793,0.619527,6.51724,88.4138,12,"2010",5,"Medium Drought",-62.9689,33.8228
0.0792631,1.38542,-1.10604,-1.35545,12.9785,12.9785,2,-2.85436,0.0259915,0.36705,0.443132,33.0853,0.670893,4,51.9274,12,"2010",13,"Medium Drought",-54.8648,23.8212
2.67731,1.88418,-2.42389,-2.64937,4.32032,4.32032,6,-2.85247,-0.854369,0.312002,0.438929,27.6681,0.68229,3.06058,65.6015,12,"2015",5,"Severe Drought",-59.9048,22.1632
-0.458445,1.5362,-1.24483,-1.3907,20.4432,20.4432,1,-2.84843,-0.286859,0.393093,0.391102,32.2288,0.665244,5,45.0378,12,"2010",21,"Medium Drought",-58.1732,25.6061
-0.995171,1.71126,-0.906448,-1.71767,21.2773,21.2773,2.72709,-2.84311,-0.29729,0.380964,0.390482,33.0441,0.665067,5,36.5654,12,"2010",22,"Medium Drought",-57.9248,26.1471
-1.436,1.8167,-0.939276,-1.40934,29.8021,29.8021,4,-2.84137,-0.277804,0.538846,0.325,26.4615,0.63192,5,65.6717,12,"2010",30,"Medium Drought",-58.9806,32.2456
-1.0288,1.74495,-0.699136,-1.37346,14.1584,14.1584,2,-2.83527,-0.116208,0.392857,0.391429,34.7143,0.654732,5,48.6783,12,"2010",15,"Medium Drought",-59.7539,28.0219
-0.990021,1.9656,-1.45098,-1.03626,17.698,17.698,4,-2.82036,0.130076,0.481429,0.335113,26.218,0.639778,5,71.6595,12,"2010",18,"Medium Drought",-62.3323,29.6154
-0.615858,1.61132,-1.09425,-1.46009,19.7668,19.7668,2.18716,-2.80907,-0.381374,0.462182,0.365196,29.7392,0.661945,5,51.5616,12,"2010",20,"Medium Drought",-55.592,26.1473
-1.38079,1.66642,-0.952263,-1.51913,14.9035,14.9035,3,-2.7904,-0.236027,0.584844,0.291719,28.0938,0.647302,5,61.3899,12,"2010",15,"Medium Drought",-59.0505,29.025
-0.789815,1.94967,-1.33836,-1.41662,10.7718,10.7718,3.32621,-2.78468,0.409801,0.298309,0.392263,38.5739,0.606092,4.32621,65.7883,12,"2010",11,"Medium Drought",-72.256,26.4934
-0.727456,1.60576,-1.23889,-2.0829,16.5391,16.5391,2.41698,-2.7754,-0.290029,0.42962,0.383093,30.6109,0.663642,4.64575,50.0039,12,"2010",17,"Severe Drought",-56.592,25.8261
2.23456,1.15618,-1.89423,-1.88197,64.899,64.899,4.85276,-2.77439,-0.0647124,0.387464,0.405337,28.8487,0.689239,5.87526,97.6028,9,"2015",41,"Medium Drought",-54.3297,18.7585
-0.766187,1.66165,-1.04406,-1.66059,17.1292,17.1292,2.4914,-2.76448,-0.28365,0.437858,0.378534,27.624,0.6624,5,50.8254,12,"2010",18,"Medium Drought",-56.2587,25.8283
-0.133266,1.71539,-1.53455,-1.32041,22.4425,22.4425,2,-2.74427,-0.258531,0.302198,0.479121,34.9451,0.680375,4,47.8493,12,"2010",23,"Medium Drought",-56.5555,23.0709
-0.654008,1.71359,-1.13036,-1.31356,22.4334,22.4334,2.41074,-2.74128,-0.23633,0.432906,0.37004,27.202,0.662109,5,47.9712,12,"2010",23,"Medium Drought",-55.5967,25.831
2.32873,0.999889,-2.02222,-1.84211,13.5995,13.5995,4.21538,-2.74051,-0.0300863,0.476462,0.360077,23.8462,0.692139,5.79231,98.9701,12,"2015",14,"Medium Drought",-54.5939,19.1708
0.0778781,-0.589605,-1.61976,-1.89958,3.37285,3.37285,3,-2.73801,0.0106151,0.394929,0.365143,31.9433,0.613419,2,23.6248,12,"2015",4,"Medium Drought",-75.2043,23.8774
1.53214,1.00646,-0.789743,-2.1354,23.5976,23.5976,6.02809,-2.72162,-0.395456,0.467809,0.362753,25.2079,0.693833,8,131.419,9,"2015",24,"Severe Drought",-60.0163,14.456
-1.61584,1.89759,-1.35038,-1.58581,11.5146,11.5146,3.88,-2.71992,-0.350461,0.5772,0.3152,10.8,0.632304,5,67.9207,12,"2010",12,"Medium Drought",-58.9417,31.8883
0.315069,1.54826,-1.28281,-1.07224,26.251,26.251,2,-2.71711,0.0315361,0.351034,0.429655,32.8046,0.662983,4,52.1076,12,"2010",27,"Medium Drought",-53.6253,24.3144
-1.12962,1.66045,-0.868206,-1.74553,16.0896,16.0896,2.90272,-2.70789,-0.341716,0.430452,0.364198,31.7074,0.663801,4.88716,35.8938,12,"2010",17,"Medium Drought",-57.2556,26.1394
-0.855368,1.7481,-1.43277,-1.53629,19.7767,19.7767,2.84257,-2.70657,-0.264125,0.405366,0.401205,31.7412,0.663944,3.48375,43.2061,12,"2010",20,"Medium Drought",-57.2602,25.4944
-0.870782,1.66334,-1.26333,-1.52408,15.0371,15.0371,2,-2.69159,-0.422874,0.623097,0.282301,17.2655,0.63626,5,62.0455,12,"2010",16,"Medium Drought",-59.3626,30.6045
1.47319,1.19999,-0.173942,-1.6307,22.0588,22.0588,4,-2.68106,-0.536192,0.425205,0.404863,30.5034,0.68977,7,99.4101,9,"2015",23,"Medium Drought",-60.1517,15.4518
