"WTD","HAND","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","Long","Lat"
13.5923,13.5923,-0.484728,0.37,0.48,34.1943,0.685177,4,68.0154,12,"2015",-56.5915,21.4948
7.76559,7.76559,-0.786834,0.32,0.47,31.4406,0.683776,3.42363,65.5522,12,"2015",-58.9255,21.8279
6.39914,6.39914,-0.813798,0.39,0.43,29.6902,0.683776,3.76624,73.036,12,"2015",-59.2622,21.828
15.5222,15.5222,-0.0125884,0.37,0.42,31.301,0.662576,5,58.4743,12,"2015",-54.2587,25.1599
5.58686,5.58686,-1.01186,0.53,0.29,32.9006,0.67522,0,21.7875,21,"2015",-70.2566,16.829
7.03716,7.03716,-0.673382,0.49,0.31,20.2419,0.68499,3,64.4266,12,"2015",-47.9279,18.4558
17.9806,17.9806,0.0318954,0.33,0.45,33.1147,0.670208,4,53.8605,12,"2015",-54.5923,23.8289
26.659,26.659,-0.261415,0.3,0.54,33.1897,0.684037,7,88.2726,12,"2015",-54.5874,21.1484
9.08659,9.08659,-1.00973,0.53,0.34,33.6683,0.665595,0,22.9843,21,"2015",-70.5896,16.1625
10.5965,10.5965,-0.00995287,0.39,0.41,34.3015,0.667543,5.87776,95.7711,12,"2015",-52.9356,22.4984
21.9049,21.9049,-0.086004,0.36,0.49,30.9107,0.678322,7,96.4615,12,"2015",-53.2657,20.8471
19.066,19.066,0.0171179,0.38,0.38,29.2596,0.657272,5,66.7725,12,"2015",-51.9268,24.4933
10.8451,10.8451,-0.0876906,0.32,0.49,32.2573,0.672484,7,96.4013,12,"2015",-52.9243,21.4939
30.32,30.32,-0.0165955,0.61,0.6,29.1028,0.660107,4.83759,58.7764,12,"2015",-52.9277,24.827
40.9558,40.9558,-0.0234053,0.34,0.41,30.0952,0.659438,4.85253,68.8382,12,"2015",-52.5799,24.8235
12.6877,12.6877,-0.242602,0.54,0.33,31.3549,0.695257,6.21987,66.7813,12,"2015",-55.5897,18.8034
